Canonicalized SMILES,Canonicalized Taste
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet
OC1C(O)C(O)C(O)C(O)C1O,sweet
CON=C(C)C1CC=C(C=NO)CC1,sweet
NC(CC(O)(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)[O-],sweet
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet
O=S(=O)([O-])Nc1ccc(Br)cc1,sweet
COc1ccc(C(=O)C=CC(=O)O)cc1,sweet
CC1=CCC(C=NO)=CC1,sweet
COC(C)C1=CC=C(C=NO)CC1,sweet
COC(C)C1=CCC(C=NO)=CC1,sweet
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet
CCC(O)CO,sweet
CC(O)CO,sweet
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet
COc1ccc(C2OCc3ccccc3O2)cc1O,sweet
CC1=CC=C(C)CC1,sweet
O=S(=O)([O-])NC1CSCSC1,sweet
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet
OCC(O)C1OCC(O)C1O,sweet
OCC1OCC(O)C1O,sweet
COc1ccc(C2COc3ccccc3O2)cc1O,sweet
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet
OCC1OCC(O)C(O)C1O,sweet
CC1C(NS(=O)(=O)[O-])C(=O)N(c2ccccc2)N1C,sweet
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet
OC1C(CCl)OC(O)(CCl)C1O,sweet
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
CSCC1OC(O)(CSC)C(O)C1O,sweet
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet
CC(=O)C1CC=C(C=NO)CC1,sweet
NC1(C(=O)O)CCC1,sweet
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet
ON=CC1=CCCCC1,sweet
ON=CC1=CCCC1,sweet
CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet
O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,sweet
CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,sweet
CC1=CC=CCC1,sweet
CC1=CCCCC1,sweet
COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet
