common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
1-Aminopropan-2-ol,4,fishy,,4,C3H9NO,75.11,CC(CN)O,CC(CN)O,1-aminopropan-2-ol
2-Deoxyhexopyranose,40,sweet,,40,C6H12O5,164.16,C1C(C(C(OC1O)CO)O)O,C1C(C(C(OC1O)CO)O)O,"6-(hydroxymethyl)oxane-2,4,5-triol"
3-Methyl-2-oxovaleric acid,47,Not Available,,47,C6H10O3,130.14,CCC(C)C(=O)C(=O)O,CCC(C)C(=O)C(=O)O,3-methyl-2-oxopentanoic acid
3-Methyl-2-oxobutanoic acid,49,fruity,,49,C5H8O3,116.11,CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid
2-ketoglutaric acid,51,odorless,,51,C5H6O5,146.10,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)O)C(=O)C(=O)O,2-oxopentanedioic acid
2-oxobutanoic acid,58,"brown,caramel,lactonic,sweet,creamy",,58,C4H6O3,102.09,CCC(=O)C(=O)O,CCC(=O)C(=O)O,2-oxobutanoic acid
4-Methyl-2-oxovaleric acid,70,fruity,,70,C6H10O3,130.14,CC(C)CC(=O)C(=O)O,CC(C)CC(=O)C(=O)O,4-methyl-2-oxopentanoic acid
"3,4-Dihydroxybenzoic Acid",72,"phenolic,balsamic,mild",,72,C7H6O4,154.12,C1=CC(=C(C=C1C(=O)O)O)O,C1=CC(=C(C=C1C(=O)O)O)O,"3,4-dihydroxybenzoic acid"
AC1L18F4,73,sweet-like,,73,C10H15N5O10P2,427.20,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate
3-Phenylpropanoic acid,107,"balsamic,rose,fatty,sweet,musk,cinnamon",,107,C9H10O2,150.17,C1=CC=C(C=C1)CCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid
4-aminobutyric acid,119,"savory,meaty",,119,C4H9NO2,103.12,C(CC(=O)O)CN,C(CC(=O)O)CN,4-aminobutanoic acid
4-hydroxybenzyl alcohol,125,"coconut,bitter,sweet,fruity,almond",,125,C7H8O2,124.14,C1=CC(=CC=C1CO)O,C1=CC(=CC=C1CO)O,4-(hydroxymethyl)phenol
4-hydroxybenzaldehyde,126,"woody,sweet,balsam,nutty,almond",,126,C7H6O2,122.12,C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde
4-Hydroxybenzoic Acid,135,"nutty,phenolic",,135,C7H6O3,138.12,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)O)O,4-hydroxybenzoic acid
acetic acid,176,"sour,pungent,sharp,vinegar",,176,C2H4O2,60.05,CC(=O)O,CC(=O)O,acetic acid
acetaldehyde,177,"ethereal,ether,whiskey,pungent,fruity,aldehydic",,177,C2H4O,44.05,CC=O,CC=O,acetaldehyde
acetamide,178,mousy,,178,C2H5NO,59.07,CC(=O)N,CC(=O)N,acetamide
acetoin,179,"butter,cream,milky,fatty,creamy,sweet,dairy,buttery",,179,C4H8O2,88.11,CC(C(=O)C)O,CC(C(=O)C)O,3-hydroxybutan-2-one
acetone,180,"solvent,apple,pear,ethereal",,180,C3H6O,58.08,CC(=O)C,CC(=O)C,propan-2-one
AC1L18OC,188,sweet,,188,C14H24O12,384.33,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate"
3228-71-5,191,sweet-like,,191,C10H13N5O4,267.24,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
adipic acid,196,odorless,,196,C6H10O4,146.14,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,hexanedioic acid
